"region","I alt","Ingen pendling","Indtil 5 km","5-10 km","10-20 km","20-30 km","30-40 km","40-50 km","Over 50 km"
"Region Hovedstaden",1112236,56411,325635,239583,221154,99948,55202,28954,85349
"Region Sjælland",357072,29989,93852,42199,63881,44097,29575,15809,37670
"Region Syddanmark",615356,38913,182847,98975,104188,70379,35383,22373,62298
"Region Midtjylland",706060,42148,221938,104021,115080,71241,46983,34935,69714
"Region Nordjylland",293506,19076,94724,41356,49860,32897,18506,11956,25131
