kommune;segment;år;I alt;Ingen pendling;Indtil 5 km;5-10 km;10-20 km;20-30 km;30-40 km;40-50 km;Over 50 km
Rudersdal;Mænd;2022;14581;1500;1979;1607;3910;3113;923;357;1192
Rudersdal;Kvinder;2022;13587;981;2447;2140;3840;2588;707;272;612
Bornholm;I alt;2022;17429;1617;6436;2382;3307;2292;482;3;910
Bornholm;Mænd;2022;9126;1110;3066;1202;1703;1189;233;2;621
Bornholm;Kvinder;2022;8303;507;3370;1180;1604;1103;249;1;289
Christiansø;I alt;2022;38;11;24;0;0;0;2;0;1
Christiansø;Mænd;2022;20;6;13;0;0;0;0;0;1
Christiansø;Kvinder;2022;18;5;11;0;0;0;2;0;0
Greve;I alt;2022;19852;1538;4368;2876;3719;3315;1093;836;2107
Greve;Mænd;2022;11396;1028;1829;1335;2112;2114;734;583;1661
Greve;Kvinder;2022;8456;510;2539;1541;1607;1201;359;253;446
Køge;I alt;2022;32186;1953;6758;4314;4941;5028;3614;2652;2926
Køge;Mænd;2022;17031;1373;3018;1904;2362;2687;2139;1595;1953
Køge;Kvinder;2022;15155;580;3740;2410;2579;2341;1475;1057;973
Lejre;I alt;2022;8742;1435;1445;1051;1826;1041;702;665;577
Lejre;Mænd;2022;4438;982;643;445;772;460;400;386;350
Lejre;Kvinder;2022;4304;453;802;606;1054;581;302;279;227
Roskilde;I alt;2022;46184;2823;11683;4048;7919;7446;6271;1972;4022
Roskilde;Mænd;2022;22662;1885;4728;1841;3550;3788;3289;1103;2478
Roskilde;Kvinder;2022;23522;938;6955;2207;4369;3658;2982;869;1544
Solrød;I alt;2022;6863;825;1775;784;1251;760;747;195;526
Solrød;Mænd;2022;3416;541;734;288;568;400;442;115;328
Solrød;Kvinder;2022;3447;284;1041;496;683;360;305;80;198
Faxe;I alt;2022;14081;1671;2940;1817;2322;2189;785;571;1786
Faxe;Mænd;2022;7483;1163;1357;846;1051;1069;420;340;1237
Faxe;Kvinder;2022;6598;508;1583;971;1271;1120;365;231;549
Guldborgsund;I alt;2022;24240;1988;7232;3100;4996;2607;1203;664;2450
Guldborgsund;Mænd;2022;12160;1445;3314;1479;2384;1277;588;335;1338
Guldborgsund;Kvinder;2022;12080;543;3918;1621;2612;1330;615;329;1112
Holbæk;I alt;2022;30373;2749;8484;3234;5469;3664;2150;1510;3113
Holbæk;Mænd;2022;14553;1886;3592;1433;2413;1623;1022;790;1794
Holbæk;Kvinder;2022;15820;863;4892;1801;3056;2041;1128;720;1319
Kalundborg;I alt;2022;21654;1642;5736;3547;3322;2085;1820;1091;2411
Kalundborg;Mænd;2022;11705;1187;2679;1898;1625;1082;1027;649;1558
Kalundborg;Kvinder;2022;9949;455;3057;1649;1697;1003;793;442;853
Lolland;I alt;2022;16511;1229;4874;1610;3217;2155;1158;720;1548
Lolland;Mænd;2022;8627;913;2374;781;1508;1051;595;404;1001
Lolland;Kvinder;2022;7884;316;2500;829;1709;1104;563;316;547
Næstved;I alt;2022;33054;2713;11341;4733;5123;2902;1890;1006;3346
Næstved;Mænd;2022;16111;1884;4977;2157;2318;1408;905;528;1934
Næstved;Kvinder;2022;16943;829;6364;2576;2805;1494;985;478;1412
Odsherred;I alt;2022;11995;1526;2554;1986;2396;1346;644;282;1261
