"region","I alt","Ingen pendling","Indtil 5 km","5-10 km","10-20 km","20-30 km","30-40 km","40-50 km","Over 50 km"
"Region Hovedstaden",575524,36368,145185,115881,117946,54530,31366,17551,56697
"Region Sjælland",182440,20874,41543,19563,29564,22179,15699,9030,23988
"Region Syddanmark",324947,26722,86671,49555,52333,36191,18901,12658,41916
"Region Midtjylland",374036,29316,105605,51932,57893,36687,25382,20307,46914
"Region Nordjylland",156200,13822,45895,21658,24540,16837,10026,6749,16673
